currency	period	value
CHF	overnight	-0.77940
CHF	1_week	-0.78600
CHF	1_months	-0.78340
CHF	2_months	-0.75820
CHF	3_months	-0.72620
CHF	6_months	-0.65340
USD	overnight	1.17778
USD	1_week	1.19889
USD	1_month	1.22667
USD	2_months	1.26111
USD	3_months	1.31500
USD	6_months	1.45583
GBP	overnight	0.22250
GBP	1_week	0.23806
GBP	1_month	0.24963
GBP	2_months	0.26331
GBP	3_months	0.28088
GBP	6_months	0.40775
JPY	overnight	-0.03357
JPY	1_week	-0.04314
JPY	1_month	-0.03986
JPY	2_months	-0.03936
JPY	3_months	-0.02800
JPY	6_months	0.00343
EUR	overnight	-0.42900
EUR	1_week	-0.40914
EUR	1_month	-0.40071
EUR	2_months	-0.38429
EUR	3_months	-0.37771
EUR	6_months	-0.30257
RUB	overnight	8.60
RUB	1_week	8.96
RUB	1_month	9.15
RUB	2_months	9.20
RUB	3_months	9.18
RUB	6_months	9.03
